model,params,loglik,n,k,converged,aic,bic,observed_zeros,expected_zeros,zero_ratio_observed_over_expected,naics3,year,naics3_title,modal_establishment_industry_description,is_best_by_aic,zero_inflation_pi,dispersion_alpha,observed_mean,observed_variance,variance_to_mean_ratio
poisson,{'mu': 2.420813997414381},-49499.54490500176,21951,1,True,99001.08981000353,99009.08637797908,9858,8629.901136323067,1.142307408193576,238,2024,Specialty Trade Contractors,Electrical contractors,False,,,1.9713908250193612,19.586626278443454,9.935435444796235
nb2,"{'mu': 3.102113334858688, 'alpha': 1.113802754979684}",-36543.43653715388,21951,2,True,73090.87307430776,73106.86621025887,9858,10268.0047473695,0.9600696768790903,238,2024,Specialty Trade Contractors,Electrical contractors,True,,1.113802754979684,1.9713908250193612,19.586626278443454,9.935435444796235
zip,"{'mu': 2.7936801477104374, 'pi': 0.15626190574276125}",-47335.77593099897,21951,2,True,94675.55186199794,94691.54499794905,9858,10044.355395722167,0.9814467540842358,238,2024,Specialty Trade Contractors,Electrical contractors,False,0.15626190574276125,,1.9713908250193612,19.586626278443454,9.935435444796235
zinb,"{'mu': 3.1021133302625, 'alpha': 1.1138026677654291, 'pi': 1.5209407576755836e-14}",-36543.43653715389,21951,3,True,73092.87307430778,73116.86277823443,9858,10268.004569259785,0.9600696935325437,238,2024,Specialty Trade Contractors,Electrical contractors,False,1.5209407576755836e-14,1.1138026677654291,1.9713908250193612,19.586626278443454,9.935435444796235
poisson,{'mu': 4.6355308561917274},-52092.1999849813,20872,1,True,104186.3999699626,104194.34613378941,4763,3768.5899707767967,1.2638679285712346,445,2024,Food and Beverage Retailers,Supermarkets and Other Grocery except Convenience Stores,False,,,3.246119202759678,22.275904832091964,6.862318799985586
nb2,"{'mu': 4.757815125584664, 'alpha': 0.5021001420090533}",-44380.788372874595,20872,2,True,88765.57674574919,88781.46907340283,4763,5336.018890194161,0.8926130319277579,445,2024,Food and Beverage Retailers,Supermarkets and Other Grocery except Convenience Stores,True,,0.5021001420090533,3.246119202759678,22.275904832091964,6.862318799985586
zip,"{'mu': 4.920966001227474, 'pi': 0.06826532465294731}",-51083.45004898931,20872,2,True,102170.90009797862,102186.79242563226,4763,4753.586634755951,1.001980265842895,445,2024,Food and Beverage Retailers,Supermarkets and Other Grocery except Convenience Stores,False,0.06826532465294731,,3.246119202759678,22.275904832091964,6.862318799985586
zinb,"{'mu': 4.757815003252395, 'alpha': 0.5021001396962522, 'pi': 2.4091353927949637e-15}",-44380.788372874595,20872,3,True,88767.57674574919,88791.41523722964,4763,5336.018979594148,0.8926130169728649,445,2024,Food and Beverage Retailers,Supermarkets and Other Grocery except Convenience Stores,False,2.4091353927949637e-15,0.5021001396962522,3.246119202759678,22.275904832091964,6.862318799985586
poisson,{'mu': 2.7383311294425505},-32410.35531013039,20680,1,True,64822.71062026078,64830.6475425894,11856,10922.594481902925,1.0854563922192284,423,2024,"Merchant Wholesalers, Durable Goods",Office Equipment,False,,,1.2859284332688588,9.938312629307603,7.7285114569278095
nb2,"{'mu': 3.2143002459604255, 'alpha': 1.006195464861187}",-25856.79910361061,20680,2,True,51717.59820722122,51733.47205187847,11856,12077.47710450052,0.9816619727295538,423,2024,"Merchant Wholesalers, Durable Goods",Office Equipment,False,,1.006195464861187,1.2859284332688588,9.938312629307603,7.7285114569278095
zip,"{'mu': 3.3588092081612677, 'pi': 0.18738019420728316}",-30273.100733753756,20680,2,True,60550.20146750751,60566.07531216476,11856,11943.929909193997,0.9926381090761164,423,2024,"Merchant Wholesalers, Durable Goods",Office Equipment,False,0.18738019420728316,,1.2859284332688588,9.938312629307603,7.7285114569278095
zinb,"{'mu': 3.3606051180301835, 'alpha': 0.8686963380779307, 'pi': 0.04372149571958134}",-25843.474599538327,20680,3,True,51692.949199076655,51716.75996606252,11856,12079.605059643061,0.9814890421881335,423,2024,"Merchant Wholesalers, Durable Goods",Office Equipment,True,0.04372149571958134,0.8686963380779307,1.2859284332688588,9.938312629307603,7.7285114569278095
poisson,{'mu': 5.997928930249252},-76105.49627411317,20494,1,True,152212.99254822635,152220.9204356657,5135,3468.8971989082693,1.480297542866386,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,,,4.5230311310627505,61.83442126018047,13.671013855182464
nb2,"{'mu': 6.956706268722661, 'alpha': 0.7849937139786155}",-47337.47202432992,20494,2,True,94678.94404865985,94694.79982353856,5135,5303.594754228048,0.9682112299221874,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,,0.7849937139786155,4.5230311310627505,61.83442126018047,13.671013855182464
zip,"{'mu': 6.586531370748367, 'pi': 0.09031742930407001}",-71236.39828409735,20494,2,True,142476.7965681947,142492.65234307342,5135,4737.780401449032,1.0838408632087464,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,False,0.09031742930407001,,4.5230311310627505,61.83442126018047,13.671013855182464
zinb,"{'mu': 6.991312745911551, 'alpha': 0.762173824810751, 'pi': 0.004979768137866084}",-47326.109602476834,20494,3,True,94658.21920495367,94682.00286727175,5135,5297.5317643700055,0.9693193412329951,623,2024,Nursing and Residential Care Facilities,Skilled nursing facilities,True,0.004979768137866084,0.762173824810751,4.5230311310627505,61.83442126018047,13.671013855182464
poisson,{'mu': 2.5254526205774033},-31542.856061810864,16859,1,True,63087.71212362173,63095.44476353954,10444,10006.720863978198,1.0436985444048812,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,,,1.6455898926389465,42.105427344950336,25.58682909593475
nb2,"{'mu': 3.5423378785207995, 'alpha': 1.3017012689298395}",-20356.031417650247,16859,2,True,40716.062835300494,40731.52811513613,10444,10647.299176692502,0.9809060332278879,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,,1.3017012689298395,1.6455898926389465,42.105427344950336,25.58682909593475
zip,"{'mu': 2.9608437872133595, 'pi': 0.15331201146839032}",-29249.58277426508,16859,2,True,58503.16554853016,58518.63082836579,10444,10638.214867059749,0.9817436600513572,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,False,0.15331201146839032,,1.6455898926389465,42.105427344950336,25.58682909593475
zinb,"{'mu': 3.592907281700573, 'alpha': 1.2462367437070143, 'pi': 0.014294331819314823}",-20354.710683470516,16859,3,True,40715.42136694103,40738.61928669448,10444,10646.301440708972,0.9809979604808653,561,2024,Administrative and Support Services,Activities related to Real Estate and Facilities Support Services,True,0.014294331819314823,1.2462367437070143,1.6455898926389465,42.105427344950336,25.58682909593475
poisson,{'mu': 3.7327942034764514},-14258.948015492555,15085,1,True,28519.89603098511,28527.5174871367,11006,10076.88885468254,1.0922021825104997,722,2024,Food Services and Drinking Places,Food Service Contractors,False,,,0.7171362280411004,9.252636412664987,12.902201912095705
nb2,"{'mu': 3.7206665355831943, 'alpha': 1.0936463998298913}",-12475.616628741402,15085,2,True,24955.233257482803,24970.47616978599,11006,11002.07477268019,1.0003567715545396,722,2024,Food Services and Drinking Places,Food Service Contractors,True,,1.0936463998298913,0.7171362280411004,9.252636412664987,12.902201912095705
zip,"{'mu': 4.848602584566774, 'pi': 0.2821013933904211}",-13513.49909412185,15085,2,True,27030.9981882437,27046.241100546886,11006,10934.229393873033,1.0065638467551434,722,2024,Food Services and Drinking Places,Food Service Contractors,False,0.2821013933904211,,0.7171362280411004,9.252636412664987,12.902201912095705
