naics3,year,model,n,n_params,loglik,aic,bic,delta_aic_vs_poisson,delta_aic_vs_nb2,is_best_by_aic,converged,dispersion_alpha,zero_inflation_pi,observed_zeros,expected_zeros,p_boundary_nb2_vs_poisson,p_boundary_zinb_vs_nb2,lr_zinb_vs_nb2,coef_size_band,is_best_by_aic_converged,p_boundary_zinb_vs_nb2_converged_only
238,2024,poisson,20000,10,-42162.71616179349,84345.43232358698,84424.46719911235,0.0,18336.65217326513,False,True,,,8971,6513.305654047725,0.0,0.5,0.0,size_band[020-049]=-0.0613;size_band[050-099]=-0.1150;size_band[100-249]=-0.2490;size_band[250-499]=-0.6425;size_band[500-999]=-0.8208;size_band[1000+]=-1.2324,False,
238,2024,nb2,20000,11,-32993.390075160925,66008.78015032185,66095.71851339974,-18336.65217326513,0.0,True,True,1.0165891381445715,,8971,9038.222046441377,0.0,0.5,0.0,size_band[020-049]=-0.0657;size_band[050-099]=-0.1120;size_band[100-249]=-0.2246;size_band[250-499]=-0.6276;size_band[500-999]=-0.8021;size_band[1000+]=-1.2752,True,
238,2024,zip,20000,11,-39360.025648283954,78742.05129656791,78828.9896596458,-5603.381027019073,12733.271146246056,False,True,,0.2510265613129926,8971,8706.587573566532,0.0,0.5,0.0,size_band[020-049]=-0.0346;size_band[050-099]=-0.1454;size_band[100-249]=-0.3924;size_band[250-499]=-0.8581;size_band[500-999]=-1.0560;size_band[1000+]=-1.5095,False,
238,2024,zinb,20000,12,-32993.61009585936,66011.22019171872,66106.06204234915,-18334.212131868266,2.4400413968687644,False,False,1.0151761195576567,0.0005140114412297,8971,9038.777784079582,0.0,0.5,0.0,size_band[020-049]=-0.0657;size_band[050-099]=-0.1120;size_band[100-249]=-0.2247;size_band[250-499]=-0.6278;size_band[500-999]=-0.8021;size_band[1000+]=-1.2754,False,
445,2024,poisson,20000,10,-49619.17541521014,99258.35083042028,99337.38570594563,0.0,14255.19335822371,False,True,,,4549,3583.060197370991,0.0,0.5,0.0,size_band[020-049]=0.3615;size_band[050-099]=0.1663;size_band[100-249]=0.2302;size_band[250-499]=0.1968;size_band[500-999]=0.2325;size_band[1000+]=-1.2091,False,0.5
445,2024,nb2,20000,11,-42490.57873609829,85003.15747219657,85090.09583527446,-14255.19335822371,0.0,True,True,0.5079495521024525,,4549,5046.2849584910655,0.0,0.5,0.0,size_band[020-049]=0.5055;size_band[050-099]=0.1803;size_band[100-249]=0.2428;size_band[250-499]=0.1826;size_band[500-999]=0.2735;size_band[1000+]=-0.9061,True,0.5
445,2024,zip,20000,11,-48628.89873135818,97279.79746271636,97366.73582579424,-1978.55336770392,12276.63999051979,False,True,,0.0734260470007459,4549,4492.302627389574,0.0,0.5,0.0,size_band[020-049]=0.4359;size_band[050-099]=0.2056;size_band[100-249]=0.2189;size_band[250-499]=0.1634;size_band[500-999]=0.2137;size_band[1000+]=-1.2698,False,0.5
445,2024,zinb,20000,12,-42490.58211014029,85005.16422028058,85100.00607091101,-14253.186610139704,2.006748084007995,False,True,0.5079452471242666,1.5219389288287605e-06,4549,5046.286279101581,0.0,0.5,0.0,size_band[020-049]=0.5055;size_band[050-099]=0.1803;size_band[100-249]=0.2428;size_band[250-499]=0.1826;size_band[500-999]=0.2735;size_band[1000+]=-0.9061,False,0.5
423,2024,poisson,20000,15,-29339.652090358824,58709.30418071765,58827.85649400569,0.0,9465.891471566703,False,True,,,11470,9830.559839922187,0.0,0.0001649721807811,12.892256666833418,size_band[020-049]=0.0366;size_band[050-099]=-0.0473;size_band[100-249]=-0.1594;size_band[250-499]=-0.2203;size_band[500-999]=-0.4471;size_band[1000+]=-1.2838,False,0.0001649721807811
423,2024,nb2,20000,16,-24605.70635457547,49243.41270915094,49369.86850999152,-9465.891471566703,0.0,False,True,0.8847520686299081,,11470,11555.504803748045,0.0,0.0001649721807811,12.892256666833418,size_band[020-049]=0.0381;size_band[050-099]=-0.0405;size_band[100-249]=-0.1084;size_band[250-499]=-0.1691;size_band[500-999]=-0.3214;size_band[1000+]=-1.2576,False,0.0001649721807811
