naics3,model,count,observed,expected
238,poisson,0,8971.0,6513.305654047725
238,poisson,1,3949.0,4970.716744656749
238,poisson,2,2287.0,3128.1080523565715
238,poisson,3,1480.0,1890.0759070989557
238,poisson,4,888.0,1162.3569735617239
238,poisson,5,573.0,737.7104965905205
238,poisson,6,423.0,481.71593370847165
238,poisson,7,322.0,321.4250311253778
238,poisson,8,228.0,217.929644251632
238,poisson,9,171.0,149.7527722121994
238,poisson,10+,708.0,426.90279039007265
238,nb2,0,8971.0,9038.222046441375
238,nb2,1,3949.0,4051.9085350699415
238,nb2,2,2287.0,2202.220622535613
238,nb2,3,1480.0,1325.3063600288076
238,nb2,4,888.0,855.3688769637615
238,nb2,5,573.0,581.782592370575
238,nb2,6,423.0,412.19595934915014
238,nb2,7,322.0,301.7068558864913
238,nb2,8,228.0,226.74669659097412
238,nb2,9,171.0,174.1634822821282
238,nb2,10+,708.0,830.377972481182
238,zip,0,8971.0,8706.587573566532
238,zip,1,3949.0,3389.5956270589254
238,zip,2,2287.0,2529.9481496815783
238,zip,3,1480.0,1733.7597957516318
238,zip,4,888.0,1156.451777661093
238,zip,5,573.0,769.5742970752945
238,zip,6,423.0,515.6149964289034
238,zip,7,322.0,348.86063874931955
238,zip,8,228.0,238.50725207221615
238,zip,9,171.0,164.74058141493705
238,zip,10+,708.0,446.3593105395705
238,zinb,0,8971.0,9038.777784079582
238,zinb,1,3949.0,4050.896276896168
238,zinb,2,2287.0,2202.2350363717233
238,zinb,3,1480.0,1325.4474834840398
238,zinb,4,888.0,855.4929814375009
238,zinb,5,573.0,581.8731825970766
238,zinb,6,423.0,412.25866018114795
238,zinb,7,322.0,301.749254936425
238,zinb,8,228.0,226.774818580859
238,zinb,9,171.0,174.18163772399527
238,zinb,10+,708.0,830.3128837114817
445,poisson,0,4549.0,3583.060197370991
445,poisson,1,3879.0,3221.012256647764
445,poisson,2,3050.0,2994.694530155133
445,poisson,3,2275.0,2639.746083587976
445,poisson,4,1601.0,2170.2067333682726
445,poisson,5,1156.0,1671.1390039099988
445,poisson,6,842.0,1211.1038329628643
445,poisson,7,601.0,832.7106783002322
445,poisson,8,381.0,550.1265757862038
445,poisson,9,303.0,355.1647076472326
445,poisson,10+,1363.0,771.0354002633308
445,nb2,0,4549.0,5046.2849584910655
445,nb2,1,3879.0,3612.1144580618948
445,nb2,2,3050.0,2699.4844280061166
445,nb2,3,2275.0,2036.563866401516
445,nb2,4,1601.0,1534.7401938325477
445,nb2,5,1156.0,1157.521580893801
445,nb2,6,842.0,875.785034864102
445,nb2,7,601.0,665.5605512246314
445,nb2,8,381.0,508.3131418238653
445,nb2,9,303.0,390.2199027718294
445,nb2,10+,1363.0,1473.4118836286307
445,zip,0,4549.0,4492.302627389574
445,zip,1,3879.0,2778.2506647659075
445,zip,2,3050.0,2686.7164159794424
445,zip,3,2275.0,2461.487502735213
445,zip,4,1601.0,2086.2457016040594
445,zip,5,1156.0,1647.1404248038086
445,zip,6,842.0,1220.7159722553458
445,zip,7,601.0,856.8660938699004
445,zip,8,381.0,576.5074643502655
