statistic,value
n_industries_fitted,30.0
n_industries_nb2_beats_poisson_p_boundary_lt_0.001,30.0
min_delta_aic_nb2_minus_poisson,-70071.83594129258
max_delta_aic_nb2_minus_poisson,-1712.457153392617
median_alpha_nb2,0.78505190106709
min_alpha_nb2,0.1589176085090993
n_zinb_fits_unconverged_pi_at_boundary,13.0
n_industries_zinb_beats_nb2_p_boundary_lt_0.01,9.0
n_industries_zinb_beats_nb2_p_boundary_lt_0.01_converged_only,9.0
n_industries_best_by_aic_poisson,0.0
n_industries_best_by_aic_nb2,20.0
n_industries_best_by_aic_zip,0.0
n_industries_best_by_aic_zinb,10.0
n_industries_best_by_aic_converged_only_poisson,0.0
n_industries_best_by_aic_converged_only_nb2,21.0
n_industries_best_by_aic_converged_only_zip,0.0
n_industries_best_by_aic_converged_only_zinb,9.0
