naics3,model,count,observed,expected
238,poisson,0,9858.0,8629.901136323067
238,poisson,1,4337.0,5563.367278090036
238,poisson,2,2522.0,3023.532080574646
238,poisson,3,1608.0,1640.545472560883
238,poisson,4,982.0,941.2387401552943
238,poisson,5,625.0,575.1052556586695
238,poisson,6,465.0,371.8579268265193
238,poisson,7,357.0,252.50524205938376
238,poisson,8,241.0,178.75917936510643
238,poisson,9,187.0,131.0737083189703
238,poisson,10+,769.0,643.1139800674255
238,nb2,0,9858.0,10268.0047473695
238,nb2,1,4337.0,4290.637039785392
238,nb2,2,2522.0,2274.0896885820694
238,nb2,3,1608.0,1353.7024492780783
238,nb2,4,982.0,870.9578827231217
238,nb2,5,625.0,593.7927665727386
238,nb2,6,465.0,423.5426999554047
238,nb2,7,357.0,313.2150332300151
238,nb2,8,241.0,238.52868924824426
238,nb2,9,187.0,186.10778658786276
238,nb2,10+,769.0,1138.4212166675754
238,zip,0,9858.0,10044.355395722167
238,zip,1,4337.0,4611.824112434188
238,zip,2,2522.0,2675.6545618545415
238,zip,3,1608.0,1522.5571646815088
238,zip,4,982.0,904.1903436474422
238,zip,5,625.0,566.7811946421712
238,zip,6,465.0,373.4039668290472
238,zip,7,357.0,256.9989799525875
238,zip,8,241.0,183.72842904732846
238,zip,9,187.0,135.69168793734602
238,zip,10+,769.0,675.8141632516725
238,zinb,0,9858.0,10268.004569259785
238,zinb,1,4337.0,4290.637118184935
238,zinb,2,2522.0,2274.0897403590006
238,zinb,3,1608.0,1353.702477376602
238,zinb,4,982.0,870.9578976920902
238,zinb,5,625.0,593.792774592628
238,zinb,6,465.0,423.5427042455804
238,zinb,7,357.0,313.21503546213
238,zinb,8,241.0,238.5286903129715
238,zinb,9,187.0,186.10778697633214
238,zinb,10+,769.0,1138.4212055379446
445,poisson,0,4763.0,3768.5899707767967
445,poisson,1,4033.0,3363.0096579802444
445,poisson,2,3184.0,3096.8197196586143
445,poisson,3,2392.0,2757.9077126467655
445,poisson,4,1680.0,2289.4120895132132
445,poisson,5,1204.0,1761.9225902355458
445,poisson,6,879.0,1265.4150545889054
445,poisson,7,619.0,858.9011654095369
445,poisson,8,397.0,560.2439298983759
445,poisson,9,311.0,358.26683857785036
445,poisson,10+,1410.0,791.511270714152
445,nb2,0,4763.0,5336.018890194161
445,nb2,1,4033.0,3769.1258395279647
445,nb2,2,3184.0,2780.649974969535
445,nb2,3,2392.0,2090.8237708464703
445,nb2,4,1680.0,1581.5581990965165
445,nb2,5,1204.0,1200.217043783306
445,nb2,6,879.0,913.4246537057451
445,nb2,7,619.0,697.2903592005322
445,nb2,8,397.0,534.1236073137859
445,nb2,9,311.0,410.7032799924349
445,nb2,10+,1410.0,1558.0643813695488
445,zip,0,4763.0,4753.586634755951
445,zip,1,4033.0,2978.186054473175
445,zip,2,3184.0,2767.3972624183325
445,zip,3,2392.0,2513.932020159171
445,zip,4,1680.0,2144.655226965629
445,zip,5,1204.0,1703.454658087507
445,zip,6,879.0,1264.5603093262253
445,zip,7,619.0,886.2398841910747
445,zip,8,397.0,594.6960838056149
445,zip,9,311.0,388.7634301339441
445,zip,10+,1410.0,876.5284356833756
445,zinb,0,4763.0,5336.018979594148
445,zinb,1,4033.0,3769.125885295588
445,zinb,2,3184.0,2780.649995116378
445,zinb,3,2392.0,2090.823774478656
445,zinb,4,1680.0,1581.5581927052103
445,zinb,5,1204.0,1200.2170318967703
445,zinb,6,879.0,913.4246393253909
445,zinb,7,619.0,697.2903442167735
445,zinb,8,397.0,534.1235928459089
445,zinb,9,311.0,410.7032666452934
