metric,value
years_covered,9
distinct_establishments,1238236
establishments_in_2_or_more_years,614928
establishments_in_all_9_years,16307
establishments_in_exactly_1_years,623308
establishments_in_exactly_2_years,256176
establishments_in_exactly_3_years,131863
establishments_in_exactly_4_years,74987
establishments_in_exactly_5_years,54244
establishments_in_exactly_6_years,37411
establishments_in_exactly_7_years,24102
establishments_in_exactly_8_years,19838
establishments_in_exactly_9_years,16307
distinct_establishment_ids,1238236
filings_with_missing_establishment_id,0
establishment_ids_with_multiple_ein,313527
establishment_ids_with_multiple_company_name,108855
establishment_ids_with_multiple_state,4010
