label,n_filings,n_implausible,implausible_share,hours_total,hours_share_implausible,cases_total,cases_share_implausible,aggregate_trir_unscreened,aggregate_trir_screened,ratio_screened_to_unscreened,median_establishment_trir_screened
10,1,0,0.0,115000.0,0.0,1.0,0.0,1.7391304347826086,1.7391304347826086,1.0,1.7391304347826086
11,44872,1697,0.03781868425744339,14063405549.0,0.5135268803731203,187148.0,0.039508837925064655,2.661489058932919,5.254836528326358,1.9743971934392244,3.8097284225725785
12,3,0,0.0,334951.0,0.0,6.0,0.0,3.5826135763141473,3.5826135763141473,1.0,0.9716709339215182
13,1,0,0.0,101163.0,0.0,1.0,0.0,1.9770074038927277,1.9770074038927277,1.0,1.9770074038927277
14,2,0,0.0,50578.0,0.0,3.0,0.0,11.862865277393333,11.862865277393333,1.0,13.303179459890915
16,1,0,0.0,1920.0,0.0,0.0,,0.0,0.0,,0.0
17,7,0,0.0,586380.0,0.0,34.0,0.0,11.596575599440635,11.596575599440635,1.0,14.998968820893564
19,20,0,0.0,6396938.0,0.0,248.0,0.0,7.753709665468072,7.753709665468072,1.0,6.546186009645769
20,3,0,0.0,711044.0,0.0,16.0,0.0,4.500424727583666,4.500424727583666,1.0,3.9093041438623923
21,7838,167,0.02130645572850217,3245880664.0,0.04882202810398824,14107.0,0.012972283263627987,0.8692248089377078,0.901985752241738,1.037689839230507,0.0
22,54592,575,0.01053267878077374,18195837917.0,0.37687793407925857,110607.0,0.006780764327755024,1.2157395609318122,1.937816013144997,1.5939400801103685,0.23638594260076543
23,272189,4834,0.017759718430943205,16910686791197.0,0.9967344647403826,615748.0,0.014229847275184004,0.007282353550779886,2.198330809874483,301.8709260056535,1.3369609540553369
24,2,0,0.0,40071.0,0.0,1.0,0.0,4.991140725212747,4.991140725212747,1.0,4.586104104563174
25,1,0,0.0,96000.0,0.0,0.0,,0.0,0.0,,0.0
26,2,0,0.0,211205.0,0.0,9.0,0.0,8.52252550839232,8.52252550839232,1.0,6.942813740499787
27,1,0,0.0,452687.0,0.0,6.0,0.0,2.6508382171345763,2.6508382171345763,1.0,2.6508382171345763
28,21,1,0.047619047619047616,60104.0,0.0,0.0,,0.0,0.0,,0.0
29,4,0,0.0,237899.0,0.0,2.0,0.0,1.6813857981748557,1.6813857981748557,1.0,0.0
30,1,0,0.0,96028.0,0.0,0.0,,0.0,0.0,,0.0
31,70409,977,0.01387606698007357,45708921005.0,0.3608304979720665,559548.0,0.011185814264370528,2.448309816540155,3.787607934968244,1.5470296730340798,3.2296930805996613
32,169666,1990,0.011728926243325121,91241273631.0,0.5489298696942254,593900.0,0.009651456474153898,1.3018231253585162,2.858222146638484,2.195553367398772,2.3004679535313333
33,240889,3019,0.012532743296705121,1002371779566.0,0.9167339870819813,1257912.0,0.00994107695927855,0.2509871138919418,2.9843152442235064,11.890312605882835,2.30264862226373
34,4,0,0.0,2734377.0,0.0,6.0,0.0,0.4388568218647246,0.4388568218647246,1.0,0.0
35,23,3,0.13043478260869565,5949665.0,0.7590696282899961,29.0,0.3103448275862069,0.9748448021863416,2.7904608097219654,2.86246672646111,0.0
36,16,0,0.0,3136400.0,0.0,29.0,0.0,1.8492539216936614,1.8492539216936614,1.0,0.5113546295491386
37,12,1,0.08333333333333333,1105650.0,0.001720255053588387,6.0,0.6666666666666666,1.085334418667752,0.36240156267553825,0.333907739810174,0.0
