label,n_filings,n_implausible,implausible_share,hours_total,hours_share_implausible,cases_total,cases_share_implausible,aggregate_trir_unscreened,aggregate_trir_screened,ratio_screened_to_unscreened,median_establishment_trir_screened,min_hours_per_employee,max_hours_per_employee
100-3500,2801064,67520,0.024105125766494446,18951698493968.0,0.966977441442402,12703482.0,0.016396685570145255,0.134061672667949,3.993134128120581,29.78579968945327,2.478817727890635,100.0,3500.0
100-4000,2801064,59753,0.021332250887519884,18951698493968.0,0.9668613031555513,12703482.0,0.014319144939946387,0.134061672667949,3.9875443734674545,29.74410429253717,2.4718517877668056,100.0,4000.0
100-4500,2801064,55084,0.01966538429682435,18951698493968.0,0.9668000136765967,12703482.0,0.01333382453724105,0.134061672667949,3.984161817385542,29.71887294927107,2.466273707056009,100.0,4500.0
100-5000,2801064,52647,0.018795357764049662,18951698493968.0,0.9667646722952312,12703482.0,0.01273776748768566,0.134061672667949,3.9823295087745882,29.70520529486628,2.464116306289657,100.0,5000.0
100-6000,2801064,50180,0.017914621015442705,18951698493968.0,0.9667129624636659,12703482.0,0.01217571686251061,0.134061672667949,3.9784067763578386,29.675944639388216,2.46051640090291,100.0,6000.0
120-3500,2801064,70293,0.025095106716590553,18951698493968.0,0.9669791989022947,12703482.0,0.016717070170210027,0.134061672667949,3.9920459194426807,29.77768246507255,2.4809586424194308,120.0,3500.0
120-4000,2801064,62526,0.022322231837615992,18951698493968.0,0.9668630606154439,12703482.0,0.014639529540011156,0.134061672667949,3.986459682281638,29.736013306021558,2.4743288383026103,120.0,4000.0
120-4500,2801064,57857,0.020655365246920455,18951698493968.0,0.9668017711364894,12703482.0,0.013654209137305818,0.134061672667949,3.983078949653959,29.71079556436282,2.468815770795144,120.0,4500.0
120-5000,2801064,55420,0.019785338714145766,18951698493968.0,0.9667664297551238,12703482.0,0.01305815208775043,0.134061672667949,3.981247695694441,29.697135776870432,2.465688404815488,120.0,5000.0
120-6000,2801064,52953,0.01890460196553881,18951698493968.0,0.9667147199235585,12703482.0,0.012496101462575378,0.134061672667949,3.977326436791724,29.667886112707063,2.4630541871921183,120.0,6000.0
200-3500,2801064,83979,0.029981107179271875,18951698493968.0,0.9669976018901382,12703482.0,0.01889269414480219,0.134061672667949,3.9854342115335353,29.728364059762768,2.4932370943814903,200.0,3500.0
200-4000,2801064,76212,0.027208232300297317,18951698493968.0,0.9668814636032875,12703482.0,0.016815153514603318,0.134061672667949,3.97986805584491,29.686844693505034,2.4865725084543464,200.0,4000.0
200-4500,2801064,71543,0.02554136570960178,18951698493968.0,0.966820174124333,12703482.0,0.015829833111897982,0.134061672667949,3.976497624108188,29.66170378880313,2.4811638312477773,200.0,4500.0
200-5000,2801064,69106,0.02467133917682709,18951698493968.0,0.9667848327429674,12703482.0,0.015233776062342592,0.134061672667949,3.974672358153792,29.648088667358863,2.478191911181602,200.0,5000.0
200-6000,2801064,66639,0.023790602428220134,18951698493968.0,0.9667331229114021,12703482.0,0.014671725437167542,0.134061672667949,3.9707591507046596,29.61889906102876,2.4746656108093394,200.0,6000.0
250-3500,2801064,93065,0.03322487454767188,18951698493968.0,0.9670104690049289,12703482.0,0.019961141362659467,0.134061672667949,3.9826467580924225,29.707571737948186,2.5013757566661665,250.0,3500.0
250-4000,2801064,85298,0.030451999668697324,18951698493968.0,0.9668943307180782,12703482.0,0.017883600732460595,0.134061672667949,3.9770882177068136,29.66610917616607,2.4961738335518437,250.0,4000.0
250-4500,2801064,80629,0.028785133078001787,18951698493968.0,0.9668330412391236,12703482.0,0.01689828032975526,0.134061672667949,3.9737216152961365,29.640996835377845,2.4901279532589875,250.0,4500.0
250-5000,2801064,78192,0.027915106545227098,18951698493968.0,0.9667976998577581,12703482.0,0.016302223280199868,0.134061672667949,3.971898596839029,29.62739847858557,2.4872605623314743,250.0,5000.0
250-6000,2801064,75725,0.02703436979662014,18951698493968.0,0.9667459900261928,12703482.0,0.01574017265502482,0.134061672667949,3.9679881884219834,29.59822975094534,2.4839577727178637,250.0,6000.0
400-3500,2801064,125741,0.04489044163217977,18951698493968.0,0.9670627963269531,12703482.0,0.022742977082976148,0.134061672667949,3.977651303348695,29.6703093747066,2.540771441728995,400.0,3500.0
400-4000,2801064,117974,0.04211756675320521,18951698493968.0,0.9669466580401024,12703482.0,0.020665436452777276,0.134061672667949,3.9721015154826826,29.62891210018685,2.534266526705702,400.0,4000.0
400-4500,2801064,113305,0.04045070016250967,18951698493968.0,0.9668853685611478,12703482.0,0.01968011605007194,0.134061672667949,3.9687388227363116,29.60382892257575,2.529532289479675,400.0,4500.0
400-5000,2801064,110868,0.03958067362973498,18951698493968.0,0.9668500271797823,12703482.0,0.019084059000516553,0.134061672667949,3.966918238824134,29.59024872567125,2.5264082028307406,400.0,5000.0
400-6000,2801064,108401,0.03869993688112803,18951698493968.0,0.966798317348217,12703482.0,0.0185220083753415,0.134061672667949,3.963009424069499,29.561091885562917,2.5227998032216155,400.0,6000.0
