year_filing_for,establishment_id,naics_code,annual_average_employees,total_hours_worked,hours_per_employee,recordable_cases
2019.0,90427.0,238140.0,7.0,16831620723179.0,2404517246168.4287,0.0
2024.0,1414810.0,332322.0,133.0,862847000000.0,6487571428.571428,20.0
2019.0,633807.0,442110.0,380.0,80378198059.0,211521573.8394737,15.0
2023.0,953337.0,621111.0,276.0,53106280000.0,192414057.9710145,10.0
2024.0,1092218.0,325412.0,163.0,33904055014.0,208000337.50920245,1.0
2023.0,1072807.0,332313.0,83.0,13833831664.0,166672670.6506024,1.0
2020.0,426235.0,333415.0,314.0,10506933333.0,33461571.124203824,2.0
2024.0,1284687.0,811111.0,65.0,9091955290.0,139876235.23076922,2.0
2024.0,1272619.0,623311.0,450.0,7742151394.0,17204780.875555556,44.0
2024.0,1284676.0,811111.0,50.0,6957543740.0,139150874.8,0.0
2022.0,1005475.0,622110.0,340.0,5812723200.0,17096244.70588235,22.0
2022.0,920558.0,332510.0,34.0,5192468334.0,152719656.88235295,0.0
2022.0,1006228.0,622110.0,310.0,4946649250.0,15956933.064516129,27.0
2021.0,456557.0,921190.0,268.0,4427277064.0,16519690.537313433,40.0
2021.0,795875.0,922140.0,307.0,4095354646.0,13339917.413680783,4.0
2021.0,904757.0,221111.0,312312.0,3123123123.0,10000.00999961577,0.0
2024.0,1308955.0,623110.0,400.0,3020484867.0,7551212.1675,10.0
2024.0,901559.0,311612.0,700.0,2974751300.0,4249644.714285715,33.0
2023.0,1240684.0,321991.0,150.0,2960260000.0,19735066.666666668,20.0
2020.0,675743.0,721110.0,105.0,2848482149.0,27128401.41904762,4.0
2022.0,905838.0,721110.0,398.0,2828629434.0,7107109.130653267,20.0
2023.0,1131219.0,623210.0,2160.0,2633444232.0,1219187.1444444444,232.0
2023.0,796230.0,721110.0,100.0,2595152024.0,25951520.24,3.0
2019.0,347054.0,442110.0,23.0,2403837975.0,104514694.56521739,0.0
2019.0,609051.0,541850.0,3474.0,2210152382.0,636198.1525618883,57.0
2023.0,801935.0,623110.0,12375.0,2173658818.0,175649.1974141414,10.0
2019.0,135538.0,442110.0,144.0,2120027173.0,14722410.923611112,4.0
2023.0,800094.0,623110.0,112.0,2119671952.0,18925642.42857143,5.0
2021.0,811804.0,623110.0,90.0,2034131525.0,22601461.388888888,2.0
2019.0,634010.0,623110.0,14292.0,1995979662.0,139657.12720403023,3.0
2021.0,823652.0,621610.0,343.0,1978417242.0,5767980.297376093,10.0
2017.0,281231.0,445110.0,910.0,1963929729.0,2158164.5373626375,82.0
2022.0,101993.0,921140.0,941.0,1957280000.0,2080000.0,143.0
2023.0,156481.0,221113.0,1006.0,1946424000.0,1934815.1093439364,2.0
2021.0,621240.0,623110.0,155.0,1936785591.0,12495390.90967742,5.0
2021.0,419618.0,623110.0,120.0,1887627500.0,15730229.166666666,26.0
2018.0,418857.0,447110.0,1050.0,1886060000.0,1796247.619047619,21.0
2017.0,192604.0,623110.0,130.0,1869493440.0,14380718.76923077,1.0
2021.0,655445.0,623110.0,127.0,1791844900.0,14109014.960629921,2.0
2018.0,469932.0,237120.0,75.0,1774072400.0,23654298.666666668,0.0
2024.0,1290361.0,485410.0,126.0,1704790905.0,13530086.547619049,0.0
2024.0,892298.0,445120.0,14.0,1675517857.0,119679846.92857143,0.0
2016.0,49839.0,622110.0,10291.0,1655865404.0,160904.2273831503,467.0
2023.0,575615.0,623110.0,193.0,1649449474.0,8546370.331606217,1.0
2020.0,678367.0,921110.0,473.0,1579908832.0,3340187.8054968286,94.0
2024.0,1283522.0,339112.0,78.0,1564024033.0,20051590.166666668,0.0
2020.0,733265.0,623110.0,96.0,1563429001.0,16285718.760416666,1.0
2022.0,1024276.0,623110.0,119.0,1549652900.0,13022293.277310925,2.0
2017.0,257502.0,623110.0,167.0,1548461538.0,9272224.778443113,6.0
2018.0,412106.0,721110.0,86.0,1486887314.0,17289387.372093022,6.0
