id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1,SYNTHETIC COMPANY 00000,SYNTHETIC SITE 00000,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,39,77397,2,0,0,0,0,0,0,0,0,0,0,0,0,100000,1,2,2021,1/1/2022,
2,SYNTHETIC COMPANY 00001,SYNTHETIC SITE 00001,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,86,142183,2,0,0,0,0,0,0,0,0,0,0,0,0,100001,1,2,2021,1/1/2022,
3,SYNTHETIC COMPANY 00002,SYNTHETIC SITE 00002,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,27,58173,1,0,1,0,1,7,0,2,0,0,0,0,0,100002,1,2,2021,1/1/2022,
4,SYNTHETIC COMPANY 00003,SYNTHETIC SITE 00003,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,26,39904,2,0,0,0,0,0,0,0,0,0,0,0,0,100003,1,2,2021,1/1/2022,
5,SYNTHETIC COMPANY 00004,SYNTHETIC SITE 00004,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,474,827652,1,0,3,1,4,21,4,8,0,0,0,0,0,100004,1,2,2021,1/1/2022,
6,SYNTHETIC COMPANY 00005,SYNTHETIC SITE 00005,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,245,432526,2,0,0,0,0,0,0,0,0,0,0,0,0,100005,1,2,2021,1/1/2022,
7,SYNTHETIC COMPANY 00006,SYNTHETIC SITE 00006,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,55,110290,1,0,3,0,0,21,0,3,0,0,0,0,0,100006,1,2,2021,1/1/2022,
8,SYNTHETIC COMPANY 00007,SYNTHETIC SITE 00007,,1 Example Way,Nowhere,ZZ,00000,6221,SYNTHETIC INDUSTRY,68,126505,1,0,0,0,2,0,0,2,0,0,0,0,0,100007,1,2,2021,1/1/2022,
9,SYNTHETIC COMPANY 00008,SYNTHETIC SITE 00008,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,120,198368,1,0,0,0,1,0,0,1,0,0,0,0,0,100008,1,2,2021,1/1/2022,
10,SYNTHETIC COMPANY 00009,SYNTHETIC SITE 00009,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,207,474362,2,0,0,0,0,0,0,0,0,0,0,0,0,100009,1,2,2021,1/1/2022,
11,SYNTHETIC COMPANY 00010,SYNTHETIC SITE 00010,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,157,272706,1,0,0,0,1,0,0,1,0,0,0,0,0,100010,1,2,2021,1/1/2022,
12,SYNTHETIC COMPANY 00011,SYNTHETIC SITE 00011,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,11,21827,2,0,0,0,0,0,0,0,0,0,0,0,0,100011,1,2,2021,1/1/2022,
13,SYNTHETIC COMPANY 00012,SYNTHETIC SITE 00012,,1 Example Way,Nowhere,ZZ,00000,3252,SYNTHETIC INDUSTRY,68,123091,2,0,0,0,0,0,0,0,0,0,0,0,0,100012,1,2,2021,1/1/2022,
14,SYNTHETIC COMPANY 00013,SYNTHETIC SITE 00013,,1 Example Way,Nowhere,ZZ,00000,3328,SYNTHETIC INDUSTRY,64,110878,1,0,0,0,3,0,0,3,0,0,0,0,0,100013,1,2,2021,1/1/2022,
15,SYNTHETIC COMPANY 00014,SYNTHETIC SITE 00014,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,234,480198,1,0,0,2,0,0,8,2,0,0,0,0,0,100014,1,2,2021,1/1/2022,
16,SYNTHETIC COMPANY 00015,SYNTHETIC SITE 00015,,1 Example Way,Nowhere,ZZ,00000,2361,SYNTHETIC INDUSTRY,137,247613,2,0,0,0,0,0,0,0,0,0,0,0,0,100015,1,2,2021,1/1/2022,
17,SYNTHETIC COMPANY 00016,SYNTHETIC SITE 00016,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,5,8241,2,0,0,0,0,0,0,0,0,0,0,0,0,100016,1,2,2021,1/1/2022,
18,SYNTHETIC COMPANY 00017,SYNTHETIC SITE 00017,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,32,48970,1,0,0,0,1,0,0,1,0,0,0,0,0,100017,1,2,2021,1/1/2022,
19,SYNTHETIC COMPANY 00018,SYNTHETIC SITE 00018,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,337,660464,1,0,3,2,2,21,8,7,0,0,0,0,0,100018,1,2,2021,1/1/2022,
20,SYNTHETIC COMPANY 00019,SYNTHETIC SITE 00019,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,30,66521,2,0,0,0,0,0,0,0,0,0,0,0,0,100019,1,2,2021,1/1/2022,
21,SYNTHETIC COMPANY 00020,SYNTHETIC SITE 00020,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,27,56393,2,0,0,0,0,0,0,0,0,0,0,0,0,100020,1,2,2021,1/1/2022,
22,SYNTHETIC COMPANY 00021,SYNTHETIC SITE 00021,,1 Example Way,Nowhere,ZZ,00000,3115,SYNTHETIC INDUSTRY,86,154991,2,0,0,0,0,0,0,0,0,0,0,0,0,100021,1,2,2021,1/1/2022,
23,SYNTHETIC COMPANY 00022,SYNTHETIC SITE 00022,,1 Example Way,Nowhere,ZZ,00000,4841,SYNTHETIC INDUSTRY,2072,4150617,1,0,3,4,3,21,16,10,0,0,0,0,0,100022,1,2,2021,1/1/2022,
24,SYNTHETIC COMPANY 00023,SYNTHETIC SITE 00023,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,15,31746,2,0,0,0,0,0,0,0,0,0,0,0,0,100023,1,2,2021,1/1/2022,
25,SYNTHETIC COMPANY 00024,SYNTHETIC SITE 00024,,1 Example Way,Nowhere,ZZ,00000,4451,SYNTHETIC INDUSTRY,25,51937,1,0,0,0,1,0,0,1,0,0,0,0,0,100024,1,2,2021,1/1/2022,
26,SYNTHETIC COMPANY 00025,SYNTHETIC SITE 00025,,1 Example Way,Nowhere,ZZ,00000,3251,SYNTHETIC INDUSTRY,57,110941,2,0,0,0,0,0,0,0,0,0,0,0,0,100025,1,2,2021,1/1/2022,
