id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,change_reason,created_timestamp,year_filing_for
9001,SYNTHETIC SITE 00000,100000,,SYNTHETIC COMPANY 00000,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,22,38724,1,0,0,1,0,0,4,1,0,0,0,0,0,,1/1/2025,2024
9002,SYNTHETIC SITE 00001,100001,,SYNTHETIC COMPANY 00001,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,266,413365,1,0,1,4,2,7,16,7,0,0,0,0,0,,1/1/2025,2024
9003,SYNTHETIC SITE 00002,100002,,SYNTHETIC COMPANY 00002,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,24,44687,1,0,0,1,0,0,4,1,0,0,0,0,0,,1/1/2025,2024
9004,SYNTHETIC SITE 00003,100003,,SYNTHETIC COMPANY 00003,1 Example Way,Nowhere,ZZ,00000,6221,2017,SYNTHETIC INDUSTRY,1,2,44,77700,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9005,SYNTHETIC SITE 00004,100004,,SYNTHETIC COMPANY 00004,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,98,201439,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9006,SYNTHETIC SITE 00005,100005,,SYNTHETIC COMPANY 00005,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,23,49701,1,0,1,1,2,7,4,4,0,0,0,0,0,,1/1/2025,2024
9007,SYNTHETIC SITE 00006,100006,,SYNTHETIC COMPANY 00006,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,47,72199,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9008,SYNTHETIC SITE 00007,100007,,SYNTHETIC COMPANY 00007,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,209,540775,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9009,SYNTHETIC SITE 00008,100008,,SYNTHETIC COMPANY 00008,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,98,186731,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9010,SYNTHETIC SITE 00009,100009,,SYNTHETIC COMPANY 00009,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,1371,2688159,1,0,13,10,13,91,40,36,0,0,0,0,0,,1/1/2025,2024
9011,SYNTHETIC SITE 00010,100010,,SYNTHETIC COMPANY 00010,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,39,68600,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9012,SYNTHETIC SITE 00011,100011,,SYNTHETIC COMPANY 00011,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,38,78890,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9013,SYNTHETIC SITE 00012,100012,,SYNTHETIC COMPANY 00012,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,106,179397,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9014,SYNTHETIC SITE 00013,100013,,SYNTHETIC COMPANY 00013,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,53,88893,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9015,SYNTHETIC SITE 00014,100014,,SYNTHETIC COMPANY 00014,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,25,42738,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9016,SYNTHETIC SITE 00015,100015,,SYNTHETIC COMPANY 00015,1 Example Way,Nowhere,ZZ,00000,4841,2017,SYNTHETIC INDUSTRY,1,2,63,111053,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9017,SYNTHETIC SITE 00016,100016,,SYNTHETIC COMPANY 00016,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,231,406637,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9018,SYNTHETIC SITE 00017,100017,,SYNTHETIC COMPANY 00017,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,317,715343,1,0,3,1,1,21,4,5,0,0,0,0,0,,1/1/2025,2024
9019,SYNTHETIC SITE 00018,100018,,SYNTHETIC COMPANY 00018,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,50,70865,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9020,SYNTHETIC SITE 00019,100019,,SYNTHETIC COMPANY 00019,1 Example Way,Nowhere,ZZ,00000,3328,2017,SYNTHETIC INDUSTRY,1,2,10,10153,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9021,SYNTHETIC SITE 00020,100020,,SYNTHETIC COMPANY 00020,1 Example Way,Nowhere,ZZ,00000,3115,2017,SYNTHETIC INDUSTRY,1,2,52,118662,1,0,1,1,0,7,4,2,0,0,0,0,0,,1/1/2025,2024
9022,SYNTHETIC SITE 00021,100021,,SYNTHETIC COMPANY 00021,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,114,235368,1,0,1,0,1,7,0,2,0,0,0,0,0,,1/1/2025,2024
9023,SYNTHETIC SITE 00022,100022,,SYNTHETIC COMPANY 00022,1 Example Way,Nowhere,ZZ,00000,3252,2017,SYNTHETIC INDUSTRY,1,2,31,49519,1,0,0,0,1,0,0,1,0,0,0,0,0,,1/1/2025,2024
9024,SYNTHETIC SITE 00023,100023,,SYNTHETIC COMPANY 00023,1 Example Way,Nowhere,ZZ,00000,2361,2017,SYNTHETIC INDUSTRY,1,2,115,209899,2,0,0,0,0,0,0,0,0,0,0,0,0,,1/1/2025,2024
9025,SYNTHETIC SITE 00024,100024,,SYNTHETIC COMPANY 00024,1 Example Way,Nowhere,ZZ,00000,4451,2017,SYNTHETIC INDUSTRY,1,2,68,130200,1,0,2,1,6,14,4,9,0,0,0,0,0,,1/1/2025,2024
9026,SYNTHETIC SITE 00025,100025,,SYNTHETIC COMPANY 00025,1 Example Way,Nowhere,ZZ,00000,3251,2017,SYNTHETIC INDUSTRY,1,2,108,216697,1,0,2,1,6,14,4,9,0,0,0,0,0,,1/1/2025,2024
